cartodb_id,the_geom,location,long,lat
1,0101000020E6100000268A90BA9D5553C0191D90847D133940,Bahamas,-77.337752,25.076134
2,0101000020E6100000728C648F50874FC0857B65DEAA373240,British Anguilla,-63.057146,18.217451
3,0101000020E6100000CFC0C8CB9A2750C020B41EBE4C6C3240,British Virgin Islands,-64.618823,18.423046
4,0101000020E610000065FB90B75C8552C0CBF27519FEC31240,Colombia,-74.083784,4.691399
5,0101000020E6100000103AE8120EDD2C40AC31E884D0094940,Czech Republic,14.431748,50.076676
6,0101000020E6100000145D177E70675E4063F030ED9B754340,Da Lian,121.616241,38.918821
7,0101000020E61000008C0E48C2BE8D18401BA034D4281A4740,Geneva,6.138423,46.204371
8,0101000020E610000081D1E5CDE16A15C0B22E6EA301124240,Gibraltar,-5.354377,36.140675
9,0101000020E6100000A335069D10A256C0B83D4162BB4B2D40,Guatemala,-90.532264,14.647914
10,0101000020E6100000C1FD800706FB53C05B0A48FB1F6001C0,Guayaquil,-79.922243,-2.171936
11,0101000020E6100000527B116DC7095E4056D80C7041463E40,Hangzhou,120.152797,30.274436
12,0101000020E6100000F0D58EE21C8A5C4039F1D58EE2483640,Hong Kong,114.158013,22.284707
13,0101000020E61000009B1E1494A2F511C0A437DC476E134B40,Isle Of Man,-4.489878,54.151803
14,0101000020E61000009C4EB2D5E566414037C478CDAB0A4040,Israel,34.803889,32.083368
15,0101000020E6100000BC8DCD8E54DF00C0C30E63D2DF974840,Jersey,-2.109048,49.186518
16,0101000020E6100000EBC726F911495D4041B8020AF5544240,Jinan,117.141722,36.663728
17,0101000020E6100000279CDD5A260B23403CDEE4B7E89A4740,Liechtenstein,9.521777,47.210227
18,0101000020E6100000BD3AC780ECF5D0BFB1DEA815A6FB4940,London,-0.26501,51.966006
19,0101000020E610000062670A9DD7E821407286E28E37014740,Lugano,8.95477,46.009508
20,0101000020E6100000CC79C6BE6483184003603C8386CE4840,Luxembourg,6.128314,49.61348
21,0101000020E610000039F3AB3940F02C406E8099EFE0F34140,Malta,14.46924,35.905302
22,0101000020E6100000B988EFC4AC635E403B4ED1915CDE3D40,Ningbo,121.55742,29.8686
23,0101000020E6100000840EBA8443E153C08BDEA9807BF62140,Panama,-79.519746,8.981411
24,0101000020E61000009ACE4E06474353C027F56569A72E28C0,Peru,-77.05121,-12.091121
25,0101000020E610000064E94317D4175E4044FCC3961E074240,Qingdao,120.37232,36.055621
26,0101000020E61000003D7D04FEF09D53C0114F7633A31FC7BF,Quito,-78.467834,-0.180653
27,0101000020E6100000CEC3094CA77865C0D7FB8D76DCA82BC0,Samoa,-171.770422,-13.829807
28,0101000020E61000003161342BDBB94B407A1B9B1DA97E12C0,Seychelles,55.452001,-4.623692
29,0101000020E61000000F5F268A90605E403E912749D73C3F40,Shanghai,121.508822,31.23766
30,0101000020E61000009FE40E9BC87A5C40EECEDA6D17863640,Shenzhen,113.918494,22.523795
31,0101000020E61000008AE3C0ABE5F55940D0D2156C235EF43F,Singapore,103.842143,1.272983
32,0101000020E610000061FD9FC37C2259401A6B7F677B742B40,Thailand,100.538865,13.727504
33,0101000020E6100000056EDDCD537D13408255F5F23B2B4A40,The Netherlands,4.87239,52.337767
34,0101000020E6100000AE8383BD89A14B40F418E599972F3940,United Arab Emirates,55.262016,25.185907
35,0101000020E61000009E280989B4194CC08639419B1C7441C0,Uruguay,-56.200822,-34.907123
36,0101000020E61000006E88F19A57B650C05339ED2939F72440,Venezuela,-66.849097,10.482858
37,0101000020E6100000C0EAC891CE202140BE89213999AC4740,Zurich,8.564076,47.348426
